Jogador;Temporada;Equipe;Liga;Posição;Jogos;Jogos como Titular;Minutos;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;TRP-DOU
Gui Santos;22;GSW;NBA;PF;51;2;14.0;1.5;3.3;0.47;0.6;1.9;0.34;0.9;1.4;0.63;0.56;0.6;0.8;0.72;1.3;1.8;3.1;1.5;0.4;0.2;0.7;1.7;4.3;
Pat Spencer;28;GSW;NBA;PG;35;0;6.6;1.1;2.7;0.39;0.1;0.5;0.16;1.0;2.1;0.45;0.41;0.3;0.4;0.73;0.4;0.8;1.3;1.2;0.3;0.1;0.4;0.6;2.5;
Trayce Jackson-Davis;24;IND;NBA;SG;2;0;5.0;0.5;2.0;0.25;0.0;0.0;;0.5;2.0;0.25;0.25;2.0;2.0;1.00;0.5;0.0;0.5;0.0;0.0;0.0;0.5;1.5;3.0;
Brandin Podziemski;21;GSW;NBA;SG;58;27;26.2;4.2;9.6;0.44;1.7;4.7;0.36;2.5;4.9;0.51;0.53;1.1;1.4;0.75;1.1;3.9;5.0;3.4;1.1;0.2;1.1;1.5;11.1;
Quinten Post;24;GSW;NBA;PF;38;14;16.8;3.1;6.9;0.45;1.8;4.5;0.41;1.3;2.4;0.53;0.59;0.5;0.6;0.83;0.9;2.8;3.7;1.4;0.4;0.4;0.9;2.1;8.6;
Jackson Rowe;28;GSW;NBA;PF;5;0;8.6;1.2;3.0;0.40;0.4;1.8;0.22;0.8;1.2;0.67;0.47;0.4;0.8;0.50;0.0;1.6;1.6;0.6;0.6;0.0;0.2;0.8;3.2;
DeAndre Jordan;36;DEN;NBA;C;52;5;12.6;1.7;2.5;0.66;0.0;0.0;;1.7;2.5;0.66;0.66;0.5;1.1;0.43;1.5;3.7;5.1;1.0;0.3;0.4;0.8;1.4;3.8;
Aaron Gordon;29;DEN;NBA;PF;46;37;27.8;5.0;9.4;0.53;1.5;3.3;0.46;3.4;6.0;0.57;0.61;2.8;3.5;0.80;1.5;3.4;4.9;3.1;0.4;0.2;1.4;1.6;14.3;
Russell Westbrook;36;DEN;NBA;PG;70;36;28.3;5.1;11.2;0.45;1.3;3.9;0.33;3.8;7.2;0.52;0.51;2.0;3.1;0.64;1.4;3.6;5.1;6.2;1.5;0.5;3.3;2.6;13.4;
Nikola Jokić;29;DEN;NBA;C;65;65;36.7;11.3;19.6;0.57;2.0;4.7;0.42;9.3;14.9;0.62;0.62;5.3;6.6;0.80;2.9;9.9;12.8;10.2;1.8;0.7;3.3;2.3;29.7;
